Marque,Année_Velo,Kilométrage,Prix Vente (€),Prix Neuf (€),Année de la vente,Mois de la vente,Age du vélo,Décôte/neuf (%),Lien,Source,Date_Scan
Ktm,2023,3 618 ,2349.0,4399.0,2026,April,3,46.6,https://upway.fr/products/ktm-macina-sport-720-rr4kp4,Upway,23/04/2026
Husqvarna,2023,5 415 ,2249.0,5499.0,2026,April,3,59.1,https://upway.fr/products/husqvarna-gran-tourer-5-rr4fp4,Upway,23/04/2026
Pegasus,2018,509 ,1149.0,2500.0,2026,April,8,54.0,https://upway.fr/products/pegasus-solero-e8-rr3uu0,Upway,23/04/2026
Kayza,2020,1 112 ,1399.0,2599.0,2026,April,6,46.2,https://upway.fr/products/kayza-tanana-dry-5-rr1tc3,Upway,23/04/2026
Ogp,2022,5 ,1799.0,3159.0,2026,April,4,43.1,https://upway.fr/products/ogp-bike-trekking-341-rr4hh8,Upway,23/04/2026
Carver,2022,2 104 ,1499.0,3005.0,2026,April,4,50.1,https://upway.fr/products/carver-cityzen-e430-fl-rr4cm0,Upway,23/04/2026
Merida,2025,5 ,2349.0,3599.0,2026,April,1,34.7,https://upway.fr/products/merida-espresso-city-400-dames-rr4zf1,Upway,23/04/2026
Lombardo,2023,5 ,2299.0,3339.0,2026,April,3,31.1,https://upway.fr/products/lombardo-roma-90-rr4hh2,Upway,23/04/2026
Moustache,2022,1 134 ,1899.0,2699.0,2026,April,4,29.6,https://upway.fr/products/moustache-samedi-27-xroad-1-rr4xm1,Upway,23/04/2026
Moustache,2022,1 581 ,2249.0,3299.0,2026,April,4,31.8,https://upway.fr/products/moustache-samedi-27-xroad-2-rr5aq6,Upway,23/04/2026
Flyer,2020,423 ,1999.0,4699.0,2026,April,6,57.5,https://upway.fr/products/flyer-upstreet5-710-rr4dq7,Upway,23/04/2026
Cube,2021,949 ,1749.0,2399.0,2026,April,5,27.1,https://upway.fr/products/cube-touring-hybrid-one-rr3nf8,Upway,23/04/2026
Cube,2023,5 ,2149.0,2649.0,2026,April,3,18.9,https://upway.fr/products/cube-supreme-sport-hybrid-one-rr5ay8,Upway,23/04/2026
Hercules,2023,8 491 ,1449.0,3799.0,2026,April,3,61.9,https://upway.fr/products/hercules-edison-sport-i10-dri61,Upway,23/04/2026
Qwic,2025,5 ,1999.0,3249.0,2026,April,1,38.5,https://upway.fr/products/qwic-premium-i-auto-rr1uk2,Upway,23/04/2026
Nakamura,2025,838 ,1699.0,2100.0,2026,April,1,19.1,https://upway.fr/products/nakamura-ecrossover-gt-rr4tw7,Upway,23/04/2026
Lombardo,2022,5 ,1699.0,2457.0,2026,April,4,30.9,https://upway.fr/products/lombardo-ravenna-rr4hg6,Upway,23/04/2026
Giant,2023,690 ,1899.0,3399.0,2026,April,3,44.1,https://upway.fr/products/giant-explore-e2-rr3kw7,Upway,23/04/2026
Haibike,2021,7 861 ,1349.0,3364.0,2026,April,5,59.9,https://upway.fr/products/haibike-trekking-8-rr2fp5,Upway,23/04/2026
Moustache,2020,406 ,2299.0,3599.0,2026,April,6,36.1,https://upway.fr/products/moustache-samedi-27-xroad-3-rr3ar3,Upway,23/04/2026
Giant,2022,603,3499.0,6799.0,2026,April,4,48.5,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Trek,2022,4143,2399.0,4749.0,2026,April,4,49.5,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Conway,2022,2347,2149.0,4064.0,2026,April,4,47.1,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Haibike,2022,905,3489.0,6850.0,2026,April,4,49.1,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Haibike,2022,1840,2349.0,4799.0,2026,April,4,51.1,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Cube,2023,210,3239.0,4699.0,2026,April,3,31.1,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Cube,2023,10236,3379.0,4979.0,2026,April,3,32.1,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Giant,2023,2476,2989.0,5438.0,2026,April,3,45.0,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Trek,2023,1948,1999.0,3594.0,2026,April,3,44.4,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Trek,2022,1768,2169.0,3954.0,2026,April,4,45.1,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Conway,2022,1221,2239.0,3999.0,2026,April,4,44.0,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Cube,2024,4660,3249.0,4819.0,2026,April,2,32.6,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Conway,2022,165,2539.0,4464.0,2026,April,4,43.1,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Corratec,2023,863,2899.0,5087.0,2026,April,3,43.0,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Trek,2022,3169,2299.0,4299.0,2026,April,4,46.5,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Gazelle,2021,6233,1679.0,3233.0,2026,April,5,48.1,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Winora,2021,10165,1799.0,4199.0,2026,April,5,57.2,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Haibike,2024,392,1979.0,3499.0,2026,April,2,43.4,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Focus,2023,0,2899.0,4999.0,2026,April,3,42.0,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Bulls,2023,265,2239.0,3799.0,2026,April,3,41.1,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Giant,2024,1454,2669.0,4799.0,2026,April,2,44.4,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Cube,2023,5579,1989.0,2849.0,2026,April,3,30.2,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Flyer,2023,699,2499.0,4499.0,2026,April,3,44.5,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Giant,2022,6444,2289.0,4499.0,2026,April,4,49.1,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Conway,2022,3872,2649.0,5200.0,2026,April,4,49.1,https://rebike.fr/collections/vtt-suv,Rebike,25/04/2026
Cube,2022,4015,2939.0,4399.0,2026,April,4,33.2,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Carver,2022,4143,2399.0,4749.0,2026,April,4,49.5,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Winora,2023,320,1699.0,2989.0,2026,April,3,43.2,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Pegasus,2022,954,1659.0,3265.0,2026,April,4,49.2,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Pegasus,2023,934,2569.0,4589.0,2026,April,3,44.0,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Conway,2022,2347,2149.0,4064.0,2026,April,4,47.1,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Cube,2025,833,3069.0,4212.0,2026,April,1,27.1,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Diamant,2022,1558,1949.0,3599.0,2026,April,4,45.8,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Scott,2023,2406,2649.0,4497.0,2026,April,3,41.1,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
Bulls,2022,6500,1999.0,4015.0,2026,April,4,50.2,https://rebike.fr/collections/vtc-electrique,Rebike,25/04/2026
